customer_lifetime_value,income,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_policies,total_claim_amount
12487,31283,104,30,3,2,499
5366,88396,70,5,29,4,223
2517,85283,69,30,71,1,42
5583,57925,72,33,13,3,204
7356,81145,92,34,92,8,321
10144,27231,88,0,7,2,422
8672,22547,112,7,60,3,537
2674,56342,69,12,89,1,331
34611,20090,109,10,59,2,523
8071,72149,101,18,43,6,69
2511,17658,65,10,44,1,312
7255,10710,94,12,33,7,451
14510,60120,182,30,21,6,716
11009,51643,283,16,43,1,1358
21991,80807,109,1,73,2,132
4633,27132,63,32,59,4,302
5272,85607,66,26,1,3,67
4340,60346,62,22,39,6,446
5488,33881,68,11,83,9,65
14228,31650,121,25,17,2,580
12840,88204,90,1,94,2,648
2673,28728,67,8,10,1,321
5332,68931,66,32,30,7,309
10064,20440,128,11,54,9,614
8972,89689,74,23,4,2,136
8197,61613,110,27,87,3,528
3514,73643,89,2,2,1,147
4293,40056,61,18,15,8,292
3567,79744,102,28,11,1,660
2580,46900,66,13,59,1,316
46805,83006,235,8,61,2,1065
2666,79251,67,10,32,1,321
13057,43171,190,9,67,7,1833
5823,88359,73,1,49,9,35
9536,62421,80,22,50,2,384
8107,71094,76,0,91,2,364
3484,34307,92,33,62,1,186
34039,95135,104,26,66,2,499
7995,66685,67,35,50,2,38
11611,28915,76,10,49,2,364
4454,23438,68,5,72,3,326
5395,30997,74,13,30,4,355
8447,61337,105,35,46,9,2
2927,75685,73,35,47,1,369
2960,85272,82,0,28,1,590
6582,89169,62,3,44,2,297
2693,63684,68,16,87,1,343
2844,80306,71,11,12,1,340
6331,37975,87,3,82,3,94
5837,83308,73,2,81,7,419
4727,44305,72,23,7,3,345
4434,34549,111,8,78,1,125
5568,35581,79,21,53,7,407
7031,16224,93,13,55,9,498
2449,47122,62,6,77,1,297
2504,60282,69,23,15,1,496
9095,37937,116,11,42,5,556
8071,67945,112,3,84,7,806
15032,17150,65,28,19,2,689
8256,62902,69,14,94,2,159
11009,51643,283,16,43,1,1358
5318,25134,67,3,0,6,321
4733,13320,62,5,41,3,740
33473,33190,106,18,95,2,508
4550,17913,116,0,39,1,556
4772,20993,133,35,90,1,638
6285,52210,80,6,74,9,384
4434,58082,112,31,66,1,103
17254,50850,69,33,49,2,331
2915,86599,73,32,89,1,350
15762,44362,66,15,75,2,142
4273,82214,106,11,19,1,239
2816,41228,71,19,13,1,340
5548,67798,69,1,78,9,331
32654,97936,153,7,75,2,1101
7687,98471,109,0,5,3,523
4151,91743,61,11,71,9,208
2927,51991,73,4,95,1,124
2943,64286,81,13,23,1,388
5320,88669,66,9,18,4,213
4858,22702,67,21,79,3,482
7590,10375,66,10,95,2,316
4605,22571,63,29,51,9,302
7555,55749,114,15,50,3,820
9587,84539,119,10,71,4,65
2780,20261,72,4,55,1,345
4784,25813,61,8,97,8,205
4873,47824,129,8,56,1,546
4786,80275,68,4,67,9,489
15994,61248,159,19,75,2,1410
5395,86640,67,2,25,5,65
2356,99078,63,22,94,1,302
5133,53390,64,13,41,5,278
4996,25915,64,13,62,7,317
4455,70712,121,16,64,1,699
3921,62445,98,19,12,1,681
20171,24804,73,19,98,2,350
5528,36088,72,16,31,9,345
4077,53093,103,3,62,1,98
4917,47683,71,27,81,5,511
5686,30242,72,30,23,3,48
8025,83872,77,27,26,2,25
4165,58299,105,13,22,1,504
19259,35973,159,5,97,2,763
2486,36635,63,20,28,1,302
5948,88122,148,15,10,1,840
10996,35820,104,29,73,2,748
4803,19508,69,31,25,7,496
7761,43137,96,8,41,8,460
4334,23904,123,1,67,1,590
7695,50147,101,4,37,3,484
2397,22283,65,16,93,1,572
42561,66661,119,23,41,2,571
7153,32238,91,15,80,4,439
6143,45032,77,13,35,3,36
26180,68189,82,10,17,2,343
18688,29351,76,2,66,2,364
7089,52707,90,33,66,6,432
15000,62473,76,6,70,2,507
41787,46587,119,34,74,2,571
2470,36643,74,12,20,1,721
4786,23402,61,29,38,7,292
7918,44698,211,0,88,1,1012
2858,27382,71,33,35,1,134
2719,41005,70,22,37,1,336
5714,23726,74,1,83,9,355
2837,90893,70,8,82,1,70
2535,82776,68,24,73,1,326
5623,31504,71,8,27,3,340
9061,73876,112,19,71,8,419
5555,74015,72,12,61,6,471
7937,22862,67,9,40,2,321
11790,25251,66,13,43,2,316
22305,73577,102,13,89,2,401
6328,86536,100,17,21,4,648
8433,57961,72,27,64,2,38
9657,10145,131,34,61,9,628
7559,86411,119,33,58,3,964
5755,97657,71,2,19,8,107
2868,40046,73,10,51,1,118
8256,62902,69,14,94,2,159
6595,54499,105,2,38,7,847
8725,69772,112,17,38,9,537
3444,30967,93,10,63,1,7
5217,39854,66,6,4,7,261
4260,26991,119,34,65,1,856
2769,40506,70,14,98,1,113
2933,83241,83,2,62,1,199
11124,46994,112,25,69,2,806
5394,65978,67,3,50,3,251
2816,42937,71,14,9,1,251
2585,28137,65,23,2,1,312
4236,14476,113,11,0,1,542
2544,91169,65,6,50,1,139
34708,73183,109,3,19,2,718
3034,68205,76,35,14,1,99
7844,71144,102,20,46,3,273
3259,52782,85,20,61,1,541
4282,40864,109,16,70,1,166
2280,10378,61,16,29,1,283
5794,88370,74,0,16,9,355
12520,46476,126,4,59,2,907
4089,60759,104,20,85,1,499
5771,65709,72,33,77,3,12
5133,38795,65,23,64,3,98
2531,31993,66,14,4,1,39
9756,67632,121,0,44,4,26
2329,20934,61,14,35,1,292
2514,43860,65,15,58,1,156
4647,28314,121,21,37,1,580
2719,14030,72,11,3,1,345
3280,63297,82,1,33,1,251
9976,74115,63,24,24,2,275
2738,23446,74,27,91,1,263
2476,47918,62,2,51,1,246
7250,55731,69,17,10,2,496
5504,97613,73,18,45,5,350
3776,68727,94,19,76,1,386
8932,60909,112,8,94,5,412
6352,80587,78,7,5,6,276
3785,26318,96,23,29,1,679
12663,27739,104,16,22,2,3
12625,79421,104,2,85,2,115
4964,52679,62,21,3,4,117
8658,62464,109,23,45,4,400
28119,68211,99,9,21,2,475
17435,54105,73,22,15,2,350
5553,15881,89,1,84,4,640
3996,46210,100,2,44,1,46
4911,32903,64,4,41,3,98
5174,88081,64,35,94,5,82
2499,28264,63,13,9,1,364
2886,10312,78,10,63,1,486
15122,38084,72,35,86,2,518
9517,37578,87,13,76,2,417
4772,15323,128,30,61,1,614
3966,72439,100,5,22,1,480
2750,51789,70,8,34,1,336
2175,34408,61,31,15,1,479
8663,29218,72,33,40,2,502
5200,23401,66,17,34,3,316
27528,54586,76,1,91,2,122
4731,69833,118,32,99,1,828
4791,29111,63,3,65,5,302
3300,59592,84,8,49,1,161
6189,59523,78,21,62,8,343
2619,60477,65,12,38,1,139
4049,42512,105,15,72,1,77
17684,82667,64,5,65,2,307
17497,35615,73,9,94,2,350
8018,58843,68,1,96,2,200
5379,24702,68,13,63,8,214
4148,61896,104,25,97,1,461
11790,25251,66,13,43,2,316
7851,48943,65,17,50,2,105
2680,41968,67,11,96,1,183
2981,48836,83,26,89,1,582
4282,40864,109,16,70,1,166
4165,40863,64,27,32,5,575
5783,72354,73,9,10,8,13
4904,12902,139,3,51,1,667
22332,49078,97,10,3,2,484
6615,90414,83,7,49,6,398
5352,93606,67,23,44,3,321
8561,37759,108,9,51,5,518
2798,48675,71,26,62,1,340
11663,95058,107,12,34,2,513
12280,88340,102,16,1,2,489
8160,24349,109,15,61,7,523
8714,26854,118,14,64,4,566
6900,63629,92,27,50,7,428
14854,37899,187,9,11,5,246
2388,59200,73,12,84,1,677
8518,50328,112,19,86,8,537
6731,16346,62,0,5,2,446
4064,40080,107,31,41,1,513
4477,41402,119,26,26,1,571
15173,22448,126,20,32,2,604
2955,56502,74,15,78,1,355
4525,10269,65,12,5,3,170
2912,93403,73,18,32,1,295
5461,39626,69,25,0,3,485
3061,56869,83,25,34,1,269
25807,71210,214,8,89,2,1027
8954,34614,114,8,9,3,547
4633,25338,70,0,86,3,336
6647,91706,65,34,27,2,312
4951,46896,62,9,33,4,31
8522,32344,109,19,2,3,723
4605,22571,63,29,51,9,302
5337,58194,86,19,93,5,619
6689,56980,84,33,70,7,599
3412,30335,87,17,42,1,326
2063,53097,64,22,34,1,602
2393,45286,70,24,10,1,425
4764,90976,67,18,73,8,405
2568,11167,73,4,99,1,350
4376,87336,69,21,70,3,331
23594,76358,66,25,3,2,86
8223,95102,101,12,73,8,94
8490,28677,78,3,30,2,131
6183,36464,78,5,17,7,93
12047,43324,101,8,17,2,284
8838,82664,114,24,10,9,133
3548,16741,96,10,77,1,446
6960,74487,88,8,86,3,16
13736,16181,181,22,79,8,1261
8438,25539,112,15,63,3,585
5096,22886,65,9,81,3,312
12280,88340,102,16,1,2,489
2926,23656,80,11,1,1,384
7851,25950,66,27,1,2,271
2414,94689,71,25,30,1,511
10348,34244,87,14,34,2,417
5894,39381,74,8,55,7,355
23086,69240,194,16,29,2,744
8509,26057,74,3,63,2,523
2503,53338,63,24,35,1,35
4200,51510,106,11,17,1,688
5363,64604,67,18,71,8,272
33279,59130,117,5,7,2,436
7284,10334,64,5,80,2,296
7281,98157,69,28,28,2,371
6410,61709,82,5,41,7,275
2937,83195,73,18,36,1,332
26223,95886,115,24,15,2,828
3401,41972,86,20,23,1,691
2640,59961,68,8,7,1,291
2701,39141,68,22,7,1,402
6988,22436,89,24,21,3,427
7896,76431,111,22,21,8,190
5510,99553,68,14,85,6,111
5282,38606,68,16,99,3,413
18853,92298,173,24,21,2,1245
2936,27179,74,12,69,1,355
3781,57647,94,3,99,1,451
5867,27880,74,4,9,5,199
5989,66839,154,33,24,1,739
2671,45525,66,1,41,1,316
17622,41167,252,31,10,3,1814
34611,20090,109,10,59,2,523
13438,69693,112,4,62,2,537
13156,72517,82,33,27,2,371
8879,52583,113,12,59,7,528
2429,26736,63,6,64,1,367
5116,30820,70,1,11,5,131
2351,12928,64,12,74,1,307
5981,88723,74,12,94,8,355
8288,33816,106,10,97,3,508
2521,53703,67,3,45,1,67
2471,95697,61,16,55,1,114
6874,22093,87,15,8,9,616
12296,55193,105,8,22,2,504
6106,16654,79,23,31,7,379
9223,18814,122,20,94,3,585
6878,39020,87,0,4,5,485
12902,86584,111,33,54,2,532
10346,55906,86,12,3,2,58
20096,92766,71,17,15,2,379
8861,41854,110,17,44,8,481
9035,34337,113,14,44,9,542
7503,52464,95,9,15,3,515
4462,70088,112,0,33,1,536
3245,35592,82,34,38,1,496
2651,33201,66,9,56,1,314
2379,43886,71,28,15,1,747
4642,12520,64,10,15,5,770
11003,64906,102,20,7,2,489
17771,22910,114,30,1,2,547
4516,14018,124,29,9,1,595
9426,26263,85,11,31,2,475
4992,45473,71,6,5,3,653
5732,39337,74,29,1,9,277
7821,90737,109,31,74,3,784
2308,99116,64,33,98,1,431
6788,33642,93,2,70,9,855
2776,70793,69,32,1,1,62
6141,96201,182,24,45,1,1310
4628,16677,67,25,21,4,482
12883,77469,109,2,98,2,757
16477,57264,84,0,30,2,129
2864,26035,109,2,8,1,1145
4737,87653,68,2,26,3,326
2417,51808,61,3,12,1,351
2300,25905,63,21,12,1,302
6874,53173,96,35,27,6,691
3887,96335,97,7,43,1,161
3619,56453,98,27,47,1,310
8622,97361,73,6,85,2,350
10148,44856,66,24,71,2,316
4928,97917,67,14,32,3,279
2874,33462,72,12,9,1,112
19327,57245,124,25,15,2,681
4941,74646,137,17,5,1,986
7255,67352,181,7,80,1,560
2759,64388,69,8,51,1,331
13379,82302,194,13,83,3,1396
24084,65196,67,0,54,2,396
8847,17950,118,34,24,4,425
16979,35095,73,25,56,2,525
2530,89451,63,4,2,1,61
6355,87978,61,25,79,2,292
5308,31772,145,29,70,1,358
2359,19864,63,22,96,1,352
8564,95697,107,29,29,9,178
3167,61638,82,8,55,1,544
7986,74217,100,35,3,6,418
3554,58557,88,4,83,1,55
13840,29658,119,20,66,2,571
2530,89451,63,11,2,1,61
24238,37364,109,19,49,2,784
13466,11432,119,11,9,2,571
3052,33671,93,15,31,1,446
9161,91763,113,22,64,3,441
11578,66138,115,21,46,2,1163
3900,95018,97,21,81,1,315
23903,59709,74,12,72,2,355
2399,20992,64,21,73,1,307
5010,64014,63,26,27,7,295
8112,87403,68,1,63,2,456
3647,20694,94,29,89,1,451
5384,59364,67,25,56,5,321
2772,68463,70,19,67,1,336
4911,76925,69,26,33,9,496
2574,34990,65,23,73,1,42
9594,31421,81,5,95,2,388
10208,35482,129,21,59,3,619
9217,26351,119,14,87,7,571
10506,61650,88,8,2,2,117
7619,39515,105,5,42,5,504
8991,17331,117,13,39,6,1138
4923,31093,63,3,78,3,302
18745,27229,99,20,9,2,475
4525,32802,114,31,8,1,547
10732,75728,133,24,68,4,44
2703,13122,72,19,48,1,41
2458,49521,70,20,44,1,504
11790,25251,66,13,43,2,316
8149,52229,71,28,76,2,340
5558,69250,188,5,61,1,2156
2678,37552,83,3,85,1,398
5821,77563,143,35,58,1,545
2541,23692,65,26,27,1,312
5471,53526,68,27,69,4,278
4879,67163,61,17,41,5,33
2691,77411,67,4,63,1,257
5325,31237,73,17,44,7,496
3440,23870,91,4,92,1,500
4782,81687,61,7,77,6,292
5484,47611,69,17,65,4,593
5619,24031,153,25,5,1,1027
22721,21724,198,4,51,2,1505
17019,89601,70,16,8,2,117
2666,86321,66,7,25,1,316
5704,50695,71,31,30,5,110
3875,67002,117,11,29,1,842
10914,71656,137,3,88,8,61
3571,73853,89,7,35,1,427
22103,95914,102,35,48,2,489
7138,19794,93,24,80,8,603
5138,72264,64,2,66,9,272
2476,47918,62,0,51,1,246
5375,69050,67,17,38,3,334
8268,95419,70,6,61,2,336
5055,88989,63,19,28,3,232
4795,33068,61,6,77,6,213
6325,19222,89,4,86,7,614
9743,24028,82,14,27,2,393
6631,32918,84,33,69,3,403
31162,83170,97,0,53,2,344
4563,17888,124,32,39,1,595
4883,58682,61,24,34,4,206
5140,56150,138,22,18,1,900
3548,76114,88,6,97,1,422
10541,59965,131,7,54,7,905
8009,41247,107,17,8,3,740
7606,47778,96,2,81,7,173
30763,41279,115,1,30,2,251
2726,92622,73,8,63,1,376
4751,30887,119,15,18,1,444
2631,48414,71,11,68,1,340
38545,41104,109,4,10,2,440
4988,38928,64,14,18,8,326
2609,60798,66,21,57,1,316
15470,68086,194,34,6,3,218
5324,31561,68,8,62,7,326
3763,93595,97,15,30,1,49
9057,91025,112,13,37,9,327
6105,32099,84,0,57,5,395
5886,53977,81,28,37,4,583
4458,17622,65,1,36,3,312
2660,53333,66,4,34,1,22
3870,17116,106,8,65,1,508
2616,72302,66,6,27,1,316
8110,52548,101,10,1,5,587
2448,87802,63,2,43,1,173
2472,63860,62,26,81,1,208
6191,67897,199,4,29,1,955
16301,19614,85,21,32,2,574
6047,20396,76,15,60,4,364
20635,84106,64,0,86,2,334
4655,88240,117,3,94,1,561
4686,58089,118,31,83,1,566
5251,59537,66,23,5,7,316
8672,82396,245,34,83,1,2345
3199,78784,80,33,72,1,239
6871,67234,196,5,59,1,940
2388,99026,73,12,84,1,677
7284,10334,64,5,80,2,296
6739,25876,96,13,43,7,1012
9112,75843,90,21,21,2,432
10395,81263,95,22,59,2,337
4885,26372,126,11,7,1,604
8332,13464,79,7,72,2,379
5093,95185,71,12,55,3,150
3141,24019,79,14,27,1,47
2582,76731,64,2,68,1,201
25807,71210,214,8,89,2,1027
14083,74916,62,8,34,2,123
5085,52055,72,15,18,3,571
6457,37548,81,12,9,3,160
5607,39507,70,32,17,5,283
13092,16756,188,35,82,7,1353
6459,23235,82,32,46,3,483
7840,76460,76,17,34,2,364
5645,50366,72,9,5,9,428
4995,82413,62,12,79,3,297
5791,80480,72,6,55,7,242
14040,37853,195,9,33,5,669
7484,51692,186,12,28,1,892
5009,11029,69,9,95,4,496
2551,79751,63,15,67,1,392
9233,42600,115,10,78,3,660
4185,95519,64,0,56,3,492
4490,22267,64,13,11,3,254
38055,44661,115,21,78,2,552
2996,26189,82,9,21,1,590
8622,97361,73,6,85,2,350
5568,53295,70,12,97,8,250
4995,10787,71,33,25,8,697
3954,40175,102,34,78,1,154
2685,75329,67,15,17,1,45
2498,76792,62,12,27,1,297
25807,71210,214,8,89,2,1027
5120,69513,76,11,14,3,277
9192,37388,117,30,21,5,561
13334,47950,170,23,86,8,780
4914,14232,64,13,1,5,307
4428,58577,110,6,62,1,303
5107,70174,64,18,80,7,128
2949,78596,73,11,0,1,106
4312,21004,62,27,20,3,297
4553,61064,113,32,77,1,539
4583,94804,115,13,79,1,764
7255,39786,91,25,91,9,365
2527,80744,63,24,84,1,11
7455,74089,94,13,89,7,648
6895,28992,74,3,90,2,355
5500,35396,70,32,12,3,336
10110,96506,124,3,22,3,504
8457,26023,72,26,33,2,79
6744,31983,90,3,74,4,547
2827,20368,72,30,36,1,345
9150,32370,115,2,77,4,552
3038,31532,79,1,26,1,241
11005,18657,69,31,69,2,496
3681,77951,93,28,46,1,19
11533,41098,96,3,15,2,250
2706,22664,73,0,8,1,350
5519,70914,68,15,82,3,77
4455,50803,121,16,64,1,699
4447,13128,118,11,21,1,771
2551,79751,63,15,67,1,392
5169,56334,65,35,72,3,421
21343,11335,74,11,85,2,355
2791,72389,70,3,76,1,206
8609,79090,107,2,74,3,289
7238,91854,66,31,54,2,393
8132,36737,102,2,20,8,512
2592,72421,65,8,23,1,312
5229,26540,69,13,65,5,331
2635,93884,65,7,10,1,312
2354,95202,64,19,72,1,333
14651,74915,122,13,17,2,393
2837,29242,73,23,23,1,350
4363,54514,109,5,36,1,286
4563,62010,112,2,51,1,537
19668,22275,67,20,55,2,482
6277,21024,82,32,8,9,450
3731,47391,96,31,34,1,460
16224,32184,136,34,91,2,266
4984,86305,62,1,99,5,80
21034,26876,66,12,53,2,219
2691,21959,71,0,69,1,340
14057,36261,118,14,78,2,1197
6624,75130,62,27,53,2,297
5849,67511,73,3,5,8,350
2430,28476,62,3,76,1,297
10721,25983,90,32,43,2,432
4779,54194,119,9,90,1,112
4736,30115,65,33,1,3,585
32450,60455,104,20,25,2,499
5884,10169,161,29,1,1,1159
4858,96637,67,0,79,3,482
5824,38492,72,27,34,3,207
5220,68867,129,19,91,1,619
4341,23352,112,0,86,1,537
17857,55437,64,5,78,2,445
5129,72433,126,34,48,1,343
4711,13933,62,25,32,6,49
18380,50407,92,30,67,2,352
17041,22249,64,4,88,2,455
3312,74866,107,2,4,1,770
3576,24959,89,19,13,1,640
2462,32806,69,9,68,1,427
6098,74257,76,16,91,3,214
6899,37308,86,19,69,9,301
3883,94212,109,31,70,1,765
5259,28447,67,20,99,3,321
4250,61638,61,17,1,7,292
19014,29822,61,17,44,2,292
8658,62464,109,23,45,4,400
5845,43145,73,1,0,6,516
2756,43540,70,29,60,1,117
2937,83195,73,18,36,1,332
5603,95284,69,6,35,4,327
5384,13103,72,21,32,7,458
8169,32799,104,7,27,3,499
12655,26149,157,2,17,7,753
10025,47654,141,25,27,3,1015
14435,60880,119,25,89,2,109
2914,37803,74,26,51,1,355
7663,38061,109,5,95,3,523
5107,35625,65,10,56,3,288
11855,94079,170,10,74,5,1227
2491,25965,65,23,27,1,329
5568,98601,79,21,53,7,407
4772,20993,133,35,90,1,638
4624,38138,68,0,16,3,469
3664,98580,103,8,75,1,642
8004,54008,67,9,90,2,370
3914,20194,112,6,0,1,587
36293,18047,242,5,50,2,1350
36860,66216,103,34,58,2,96
2337,28806,61,13,90,1,292
9890,52408,125,13,12,9,179
7320,98712,112,30,29,3,806
4863,52728,127,34,34,1,609
5181,97131,64,0,80,6,307
12913,62448,107,0,11,2,513
2466,72695,70,6,18,1,504
8415,55308,107,17,74,6,513
2150,93722,61,28,31,1,292
24127,14072,71,13,3,2,511
5727,99934,71,9,12,3,460
4626,79487,114,20,87,1,547
5217,39854,66,6,4,7,261
7498,35159,66,5,17,2,316
8717,83846,74,22,94,2,355
5272,60260,66,14,84,3,328
2409,20262,66,3,97,1,316
20708,92079,65,12,68,2,114
8564,95697,107,29,29,9,178
4178,62113,104,1,0,1,5
3944,33282,100,24,66,1,207
2593,46647,72,1,99,1,345
2578,59974,65,23,5,1,127
8360,48521,105,9,89,7,263
14585,77044,194,26,10,5,931
14396,96821,205,14,63,4,1476
9100,38898,117,26,68,3,561
16938,86208,69,24,99,2,340
5421,40376,69,16,46,8,427
2342,19581,67,2,94,1,321
5723,77646,71,3,29,6,340
13681,55588,114,15,40,2,547
8639,92374,107,16,9,3,220
5867,27880,74,4,9,5,199
10179,14290,271,20,40,1,1300
20230,48448,74,24,11,2,355
4267,43682,107,12,73,1,148
3933,25927,103,6,20,1,674
5521,13186,77,20,89,9,369
6612,88425,97,31,34,9,669
2913,20075,79,7,2,1,483
7189,75838,90,6,64,6,428
2537,37612,64,0,32,1,307
4170,29462,107,28,23,1,513
14722,43982,126,20,68,2,604
24108,17257,70,1,88,2,551
2402,21629,62,19,54,1,298
7756,21326,99,22,9,3,632
4250,78583,61,17,1,7,292
7540,29697,64,6,43,2,147
8104,76910,117,24,8,6,842
7605,55281,192,22,68,1,921
5313,19318,77,8,10,9,863
15042,22799,190,10,75,6,912
2469,55257,64,0,77,1,209
4639,32078,142,5,87,1,1022
2908,74212,73,16,26,1,188
7685,31686,101,14,45,8,710
3834,84496,112,13,13,1,806
7074,94508,88,27,54,3,491
2939,97735,73,24,26,1,188
5065,26733,66,11,55,5,218
2442,57963,61,11,63,1,42
6503,22081,84,1,9,6,451
9111,54751,114,6,50,3,721
5096,22886,65,9,81,3,312
14010,36523,71,28,67,2,101
2155,76652,70,22,67,1,336
6252,92895,77,5,2,7,43
9031,67962,122,15,47,9,650
13197,35942,68,19,2,2,326
5059,67371,63,25,14,3,86
10506,97340,92,15,36,2,546
3304,23931,95,4,24,1,456
5619,50335,140,9,54,1,456
2471,53074,61,5,86,1,268
5090,25226,71,13,97,4,340
5821,61108,72,27,84,6,23
5015,73809,125,5,57,1,537
4974,61401,70,18,74,3,336
12941,77060,106,23,90,2,468
5908,86277,74,19,33,3,212
7943,60214,100,8,16,4,291
2602,38166,67,25,5,1,236
4526,19481,64,32,89,3,307
